dest_fips5,total_returns,total_exemptions,flow_weighted_mean_agi,county_name,county_name_with_fips,avg_household_size
12086,5482,8119,407313.3892739876,"Miami-Dade, FL","Miami-Dade, FL (FIPS 12086)",1.481028821597957
12021,996,1755,400557.2289156627,"Collier, FL","Collier, FL (FIPS 12021)",1.7620481927710843
12031,1467,2511,305232.4471710975,"Duval, FL","Duval, FL (FIPS 12031)",1.7116564417177915
12099,6091,10228,302186.50467903464,"Palm Beach, FL","Palm Beach, FL (FIPS 12099)",1.6791988179280906
12061,321,561,286906.5420560748,"Indian River, FL","Indian River, FL (FIPS 12061)",1.7476635514018692
12085,291,481,222642.6116838488,"Martin, FL","Martin, FL (FIPS 12085)",1.6529209621993126
12115,1192,2088,169195.46979865772,"Sarasota, FL","Sarasota, FL (FIPS 12115)",1.7516778523489933
12109,584,1362,142251.7123287671,"St. Johns, FL","St. Johns, FL (FIPS 12109)",2.3321917808219177
12071,1657,2838,141888.95594447796,"Lee, FL","Lee, FL (FIPS 12071)",1.712733856366928
12087,21,26,136476.19047619047,"Monroe, FL","Monroe, FL (FIPS 12087)",1.2380952380952381
12081,816,1460,133895.83333333334,"Manatee, FL","Manatee, FL (FIPS 12081)",1.7892156862745099
12119,282,426,133156.02836879433,"Sumter, FL","Sumter, FL (FIPS 12119)",1.5106382978723405
12011,4851,7841,110710.78128220985,"Broward, FL","Broward, FL (FIPS 12011)",1.6163677592249022
12103,1710,2591,109336.84210526316,"Pinellas, FL","Pinellas, FL (FIPS 12103)",1.515204678362573
12111,1073,1852,105799.62721342032,"St. Lucie, FL","St. Lucie, FL (FIPS 12111)",1.7260018639328985
