dest_fips5,n_returns,county_name,county_name_with_fips
12099,6091,"Palm Beach, FL","Palm Beach, FL (FIPS 12099)"
12086,5482,"Miami-Dade, FL","Miami-Dade, FL (FIPS 12086)"
12011,4851,"Broward, FL","Broward, FL (FIPS 12011)"
12095,3325,"Orange, FL","Orange, FL (FIPS 12095)"
12057,3059,"Hillsborough, FL","Hillsborough, FL (FIPS 12057)"
12103,1710,"Pinellas, FL","Pinellas, FL (FIPS 12103)"
12097,1694,"Osceola, FL","Osceola, FL (FIPS 12097)"
12071,1657,"Lee, FL","Lee, FL (FIPS 12071)"
12105,1654,"Polk, FL","Polk, FL (FIPS 12105)"
12031,1467,"Duval, FL","Duval, FL (FIPS 12031)"
12101,1226,"Pasco, FL","Pasco, FL (FIPS 12101)"
12115,1192,"Sarasota, FL","Sarasota, FL (FIPS 12115)"
12127,1088,"Volusia, FL","Volusia, FL (FIPS 12127)"
12111,1073,"St. Lucie, FL","St. Lucie, FL (FIPS 12111)"
12009,1070,"Brevard, FL","Brevard, FL (FIPS 12009)"
